JobTitle,job_role,Company,City,Column1,Province,remote?,Salary,Summary,experience?
"Manager, Business Intelligence and CRM",others,Vancouver Whitecaps FC,Vancouver,, BC,NO,,"Proficient with data analysis and data visualization.
Formal education in data analytics, data science, or equivalent work experience.",experience required
"Machine Learning Engineer (Canada, Remote)",data scientist,Diligen,Toronto,, ON,Remote,"$74,062 - $188,358 a year","BS, MS or PhD in Computer Science or related field.
3+ years of professional or academic experience in machine learning.
Machine Learning: 3 years (required).",experience required
Research Intern - AI/Deep Learning,data scientist,Deeplite Inc,Montreal,, QC,NO,,"As an intern, you will be tasked to advance the science and technology of Deeplite's engine.
Post-secondary education in a related field.",no info
BI Developer (Ubisoft Connect),software developer,Ubisoft,Montreal,, QC,NO,,"Determine and assess A/B tests in partnership with data scientists.
Set up systems to monitor the performance of data science and machine learning algorithms in…",no info
Data Science Intern,data scientist,AOMS Technologies Inc.,Toronto,, ON,NO,,The intern will be working on a project involving the prediction of time series data from field and in-situ instruments.,no info
"Senior Data Scientist, Decision Science",data scientist,Coursera,Toronto,, ON,NO,,Partner with other data scientists to develop measurement plans for new data product launches and to share context from different areas of the business and…,no info
Data Scientist,data scientist,RB,Mississauga,, ON,NO,,"Experience with data visualization and business intelligence software.
You will have access to structured and unstructured data with tools to analyze the data…",experience required
"Data Analyst, Summer Internship",business/data analyst,Weston Foods Summer Student Program,Etobicoke,, ON,NO,,"Assist in the data cleansing before implementation of SAP in various stages of the go-live.
Extract and manipulate data from various systems (e.g. SAP, SQL,…",no info
Machine Learning Engineer,data scientist,Unbounce,Vancouver,, BC,NO,,"You have experience building data pipelines.
5 or more years of experience working with machine learning and data engineering.
A paid day off for your birthday.",experience required
Data Science Analyst (Remote),business/data analyst,Yelp,Toronto,, ON,Remote,,Generate dashboards and automate reports that empower teams across the organization to make data-driven decisions.,no info
Data Science Consultant,data scientist,Avanade,Calgary,, AB,NO,,"Lead and run a small team of data scientists.
Deliver data science insights using statistical, data mining, and machine and deep learning.",no info
Data Scientist,data scientist,Canada Drives,Vancouver,, BC,NO,,"2+ years experience in applying analytics, data engineering or data science.
Experience in establishing data technology foundations for agile business…",experience required
"Advanced Analytics Associate, Finance",others,Linamar Corp,Guelph,, ON,NO,,"Understanding of data management with a strong ability to collect, process, and interpret data.
Explore data sets and find innovative ways to source and…",no info
Director- Data Strategy & Analytics,others,Munich RE,Toronto,, ON,NO,,"Seven years as an analyst, data scientist or data engineer preferably in the Property and Casualty insurance industry,.
It’s Engineering, Insurance, Technology.",experience required
Senior Data Analyst,business/data analyst,Behavox,Montreal,, QC,NO,,"Own the design and development of applications for Behavox CRX to effectively aggregate, analyze and represent data, find patterns, outliers and generate…",no info
"Senior Manager, Network Analytics & AI",others,Bell Canada,Toronto,, ON,NO,,"You will lead a cross-functional team of architects, developers, data engineers and data scientists in an agile environment to deliver best in class analytics…",no info
